id,source_agent,title,severity,status,estimated_effort,owner_type,dependencies,url_affected,recommendation_summary
ACT-001,AG05+AG01,"DONE: PILLAR_ARTICLES broken hrefs fixed on /zold-tarsashaz (3 URLs corrected)",P1,DONE,XS,Engineering,,"https://panellako.hu/zold-tarsashaz","Fixed broken internal links to /naperomo-tervezes /hoszigeteles-palyazatok /ev-tolto-bevezetes — corrected to matching cluster article URLs"
ACT-002,AG05+AG07,"DONE: CLUSTER_ARTICLES duplicate section removed on /zold-tarsashaz",P1,DONE,XS,Engineering,,"https://panellako.hu/zold-tarsashaz","Removed duplicate section that caused two nearly-identical link sets pointing to overlapping topics"
ACT-003,AG04+AG01,"DONE: robots.ts — /auth/ and /monitoring added to disallow",P1,DONE,XS,Engineering,,"https://panellako.hu/robots.txt","Blocked /auth/callback /auth/signout and /monitoring from Googlebot crawl"
ACT-004,AG04,"DONE: layout.tsx — maximumScale:1 removed from viewport config",P1,DONE,XS,Engineering,,"https://panellako.hu (all pages)","Removed mobile zoom prevention — improves accessibility and mobile usability signal"
ACT-005,AG04+AG01,"DONE: layout.tsx — global canonical fallback removed",P2,DONE,XS,Engineering,,"https://panellako.hu (all pages)","Removed BASE_URL canonical from root layout to prevent future duplicate-content footgun"
ACT-006,AG01+AG03+AG04,"DONE: page.tsx /arak /gyik — relative canonicals converted to absolute",P1,DONE,XS,Engineering,,"https://panellako.hu/ https://panellako.hu/arak https://panellako.hu/gyik","Changed canonical: '/' '/arak' '/gyik' to absolute https://panellako.hu/... format"
ACT-007,AG04+AG08,"DONE: /elemzes/budapest-kozlekedes — BreadcrumbList schema added",P3,DONE,XS,Engineering,,"https://panellako.hu/elemzes/budapest-kozlekedes","Added BreadcrumbList JSON-LD: Főoldal → Elemzések → Budapest tömegközlekedésének elemzése"
ACT-008,AG08,"DONE: WebSite schema with SearchAction added to layout.tsx",P0,DONE,XS,Engineering,,"https://panellako.hu","Added WebSite + SearchAction schema enabling sitelinks search box eligibility in branded SERPs"
ACT-009,AG08+AG04,"DONE: @id added to SoftwareApplication and Organization schemas",P0,DONE,S,Engineering,,"https://panellako.hu","Added @id: 'https://panellako.hu/#software' and '#organization' to root schema blocks"
ACT-010,AG08+AG01,"DONE: All 27 Article schemas — datePublished, dateModified, author added",P0,DONE,M,Engineering,,"https://panellako.hu/tarsashaz-kezeles/* https://panellako.hu/tarsashazi-jog/* (27 pages)","Added required Article rich-result fields to all content cluster pages"
ACT-011,AG08,"DONE: /kozgyules-osszehivasa — HowTo schema added",P1,DONE,S,Engineering,,"https://panellako.hu/tarsashaz-kezeles/kozgyules-osszehivasa","Added HowTo JSON-LD mapping the 8-step CHECKLIST_STEPS array for rich-result eligibility"
ACT-012,AG04,"OG images missing from public/ — og-image.png and og-elemzes-kozlekedes.png return 404",P0,READY,S,Engineering,,"https://panellako.hu https://panellako.hu/elemzes/budapest-kozlekedes","Create og-image.png (1200×630px) and og-elemzes-kozlekedes.png and place in /public/ — every social share currently breaks"
ACT-013,AG01+AG03,"Title tags exceed 60 characters on 35+ pages — systematic SERP truncation",P1,READY,M,SEO,,"https://panellako.hu/tarsashaz-kezeles https://panellako.hu/tarsashazi-jog/* https://panellako.hu/levegominoseg-budapest/* (35+ pages)","Trim all titles to 55-60 chars max including brand suffix. Key pages: /tarsashaz-kezeles (79ch→57ch) /zold-tarsashaz (87ch) /tarsashazi-jog/szomszed-jog-tarsashazban (99ch)"
ACT-014,AG01+AG08,"Pricing structured data on /arak uses price:'0' for paid plans — Google policy risk",P1,READY,XS,Engineering,,"https://panellako.hu/arak","Remove inaccurate price:'0' Offer objects or replace with trial-only offer; paid tiers use 'contact required' so remove price field entirely"
