path,extension,bytes,encoding,line_count,categories,score_total,coverage,edge_cases,errors,data_integrity,deployment
AI_PROMPTING_FOLDERSTRUCTURE/.ai/agents.md,.md,7727,utf-8-sig,127,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;verification;security;performance,94,34,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/.ai/best-practices.md,.md,7732,utf-8-sig,127,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;verification;security;performance,94,34,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/.ai/context-ingestion.md,.md,4613,utf-8-sig,84,frontend;backend;ui;sql;renderer;data_feed;hosting_vercel_aws;verification;security;performance,84,31,17,15,11,10
AI_PROMPTING_FOLDERSTRUCTURE/.ai/delegation-protocol.md,.md,4558,utf-8-sig,84,frontend;backend;ui;sql;renderer;hosting_vercel_aws;verification;security;performance,81,28,17,15,11,10
AI_PROMPTING_FOLDERSTRUCTURE/.ai/skills.md,.md,5658,utf-8-sig,91,frontend;backend;ui;sql;renderer;visualization;hosting_vercel_aws;verification;security;performance,89,31,19,15,14,10
AI_PROMPTING_FOLDERSTRUCTURE/ab-testing/ab_testing_metrics.md,.md,1047,utf-8-sig,39,frontend;ui;verification,17,9,0,8,0,0
AI_PROMPTING_FOLDERSTRUCTURE/ab-testing/ab_testing_strategy.md,.md,1410,utf-8-sig,47,ui;verification,16,6,5,0,0,5
AI_PROMPTING_FOLDERSTRUCTURE/ab-testing/metrics.md,.md,7335,utf-8-sig,137,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;verification;security;performance,93,34,20,15,14,10
AI_PROMPTING_FOLDERSTRUCTURE/ab-testing/rollout-plan.md,.md,5672,utf-8-sig,91,frontend;backend;ui;sql;renderer;data_feed;hosting_vercel_aws;verification;security;performance,89,31,19,15,14,10
AI_PROMPTING_FOLDERSTRUCTURE/ab-testing/strategy.md,.md,7679,utf-8-sig,145,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;verification;security;performance,93,34,20,15,14,10
AI_PROMPTING_FOLDERSTRUCTURE/ai_dev_system.md,.md,24627,utf-8-sig,387,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;kafka;data_provider;verification;security;performance,100,40,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/ai_instructions.md,.md,17413,utf-8-sig,225,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;kafka;data_provider;verification;security;performance,100,40,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/backend-system.md,.md,12100,utf-8-sig,188,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/controllers.md,.md,9088,utf-8-sig,150,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/error_handling.md,.md,12945,utf-8-sig,164,frontend;backend;ui;sql;renderer;data_feed;hosting_vercel_aws;kafka;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/exceptions.md,.md,8898,utf-8-sig,150,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/prompt_template_backend_api.md,.md,16070,utf-8-sig,261,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/prompts.md,.md,9232,utf-8-sig,152,frontend;backend;ui;sql;renderer;data_feed;hosting_vercel_aws;data_provider;verification;security;performance,94,34,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/service_layer_template.md,.md,16018,utf-8-sig,263,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/services.md,.md,9343,utf-8-sig,154,frontend;backend;ui;sql;renderer;hosting_vercel_aws;data_provider;verification;security;performance,91,31,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/backend/tests.md,.md,8953,utf-8-sig,149,frontend;backend;ui;sql;renderer;visualization;hosting_vercel_aws;kafka;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/build_log.md,.md,735227,utf-8-sig,379,frontend;backend;ui;sql;data_feed;hosting_vercel_aws;verification;security;performance,88,28,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/ai_instructions.md,.md,17126,utf-8-sig,225,frontend;backend;ui;sql;data_feed;hosting_vercel_aws;data_provider;verification;security;performance,91,31,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/migration_template.md,.md,16339,utf-8-sig,261,frontend;backend;ui;sql;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,94,34,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/migrations.md,.md,9816,utf-8-sig,156,frontend;backend;ui;sql;renderer;data_feed;hosting_vercel_aws;verification;security;performance,91,31,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/performance.md,.md,9544,utf-8-sig,153,frontend;backend;ui;sql;renderer;data_feed;hosting_vercel_aws;data_provider;verification;security;performance,94,34,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/performance_tuning.md,.md,13191,utf-8-sig,169,frontend;backend;ui;sql;data_feed;hosting_vercel_aws;data_provider;verification;security;performance,91,31,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/schema-rules.md,.md,16315,utf-8-sig,262,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/schema_template.md,.md,16088,utf-8-sig,265,frontend;backend;ui;sql;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,94,34,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/database/seed-data.md,.md,11582,utf-8-sig,190,frontend;backend;ui;sql;renderer;data_feed;hosting_vercel_aws;kafka;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/docs/arch-diagrams.md,.md,17393,utf-8-sig,228,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/docs/changelog-mining-protocol.md,.md,4611,utf-8-sig,84,frontend;backend;ui;sql;renderer;hosting_vercel_aws;verification;security;performance,84,28,20,15,11,10
AI_PROMPTING_FOLDERSTRUCTURE/docs/coding-lessons-digest.md,.md,4597,utf-8-sig,84,frontend;backend;ui;sql;renderer;hosting_vercel_aws;data_provider;verification;security;performance,84,31,17,15,11,10
AI_PROMPTING_FOLDERSTRUCTURE/docs/interface-contract-registry.md,.md,4722,utf-8-sig,84,frontend;backend;ui;sql;renderer;hosting_vercel_aws;verification;security;performance,84,28,17,15,14,10
AI_PROMPTING_FOLDERSTRUCTURE/docs/non-regression-matrix.md,.md,4641,utf-8-sig,84,frontend;backend;ui;sql;renderer;hosting_vercel_aws;verification;security;performance,81,28,17,15,11,10
AI_PROMPTING_FOLDERSTRUCTURE/docs/prd-template.md,.md,19811,utf-8-sig,264,frontend;backend;ui;sql;renderer;data_feed;visualization;hosting_vercel_aws;data_provider;verification;security;performance,97,37,20,15,15,10
AI_PROMPTING_FOLDERSTRUCTURE/docs/README.md,.md,4046,utf-8-sig,72,frontend;backend;ui;verification;performance,42,15,17,0,4,6
AI_PROMPTING_FOLDERSTRUCTURE/docs/repository_source_inventory.md,.md,19982,utf-8-sig,385,frontend;backend;ui;sql;visualization;verification;security;performance,53,25,10,4,7,7
AI_PROMPTING_FOLDERSTRUCTURE/docs/source-pattern-digest.md,.md,4630,utf-8-sig,84,frontend;backend;ui;sql;renderer;hosting_vercel_aws;verification;security;performance,81,28,17,15,11,10
